City Name,Crime Index,X Coordinate (Latitude),Y Coordinate (Longitude),Cities Touching That City
Karvenagar,2.5,18.4957,73.8213,"Kothrud, Erandwane, Warje, Shivane"
Kothrud,3.0,18.5074,73.8077,"Karvenagar, Erandwane, Bavdhan"
Erandwane,2.8,18.5102,73.8416,"Karvenagar, Kothrud, Deccan"
Bavdhan,2.3,18.5167,73.7898,"Kothrud, Pashan, Warje"
Warje,3.2,18.4825,73.8076,"Karvenagar, Bavdhan, Shivane"
Shivane,3.5,18.4783,73.7986,"Karvenagar, Warje"
Pashan,2.7,18.5408,73.7869,"Bavdhan, Aundh, Sus"
Aundh,3.1,18.5626,73.8087,"Pashan, Baner, Sangvi"
Baner,3.4,18.5583,73.7898,"Aundh, Balewadi, Sus"
Balewadi,3.0,18.5755,73.7709,"Baner, Wakad"
Wakad,3.6,18.5983,73.7582,"Balewadi, Hinjewadi"
Hinjewadi,4.0,18.5973,73.7187,Wakad
Deccan,2.9,18.5165,73.8419,"Erandwane, Shivajinagar"
Shivajinagar,3.3,18.5308,73.8475,"Deccan, Khadki, Model Colony"
Khadki,3.7,18.5636,73.8521,"Shivajinagar, Dapodi, Bopodi"
Dapodi,3.9,18.5802,73.8375,"Khadki, Pimpri"
Pimpri,4.2,18.6287,73.7997,"Dapodi, Chinchwad"
Chinchwad,4.0,18.6298,73.7622,"Pimpri, Akurdi"
Akurdi,3.8,18.6446,73.7445,"Chinchwad, Nigdi"
Nigdi,3.6,18.6518,73.7345,"Akurdi, Ravet"
Ravet,3.5,18.644,73.7199,"Nigdi, Talegaon"
Talegaon,2.9,18.735,73.6756,Ravet
Sus,2.5,18.5402,73.7622,"Pashan, Baner"
