Location,Nearby Locations
Alandi,"Chakan|7, Bhosari|5, Charholi|10"
Aundh,"Baner|6, Pashan|4, Sangavi|6"
Bhosari,"Pimpri|8, Moshi|5, Chakan|5"
Bibwewadi,"Kondhwa|9, Market Yard|5, Dhankawadi|10"
BundGarden,"Koregaon Park|2, Camp|3, Yerwada|9"
Chakan,"Talegaon|1, Alandi|8, Moshi|6"
ChandanNagar,"Kharadi|2, Viman Nagar|8, Wagholi|6"
DeccanGymkhana,"Shivajinagar|10, JM Road|5, Erandwane|4"
Dighi,"Vishrantwadi|6, Bhosari|2, Alandi|9"
Faraskhana,"Budhwar Peth|2, Shaniwar Peth|6, Kasba Peth|9"
Hadapsar,"Magarpatta|5, Amanora|6, Mundhwa|2"
Hinjewadi,"Wakad|3, Balewadi|5, Marunji|8"
Khadki,"Bopodi|4, Dapodi|5, Aundh|4"
KarveNagar,"Warje|8, Kothrud|10, Hingne Budrukh|8"
Kondhwa,"Bibwewadi|10, NIBM|7, Undri|5"
KoregaonPark,"Kalyani Nagar|6, Bund Garden|5, Yerwada|3"
Kothrud,"Warje|4, Bavdhan|8, Paud Road|7"
LoniKalbhor,"Manjri|4, Hadapsar|8, Fursungi|3"
Nigdi,"Akurdi|1, Ravet|2, Pimpri|2"
Pimpri,"Chinchwad|6, Nigdi|7, Bhosari|8"
SahakarNagar,"Parvati|9, Swargate|10, Bibwewadi|9"
Samarth,"Somwar Peth|2, Rasta Peth|6, Budhwar Peth|7"
Sangavi,"Pimple Gurav|9, Kasarwadi|9, Aundh|1"
Shivajinagar,"FC Road|1, JM Road|10, Deccan Gymkhana|8"
SinhagadRoad,"Warje|7, Dhayari|9, Vadgaon|8"
Swargate,"Parvati|1, Market Yard|1, Gultekdi|10"
TalegaonDabhade,"Chakan|1, Vadgaon|10, Induri|2"
Vishrantwadi,"Dighi|10, Tingre Nagar|1, Alandi Road|10"
Vishrambaug,"Sadashiv Peth|5, Shaniwar Peth|8, Narayan Peth|5"
Wakad,"Hinjewadi|9, Pimple Saudagar|5, Thergaon|7"
Wanowrie,"Fatimanagar|2, NIBM|5, Kondhwa|8"
Warje,"Kothrud|7, Sinhagad Road|3, NDA Road|10"
Yerwada,"Viman Nagar|4, Kalyani Nagar|2, Lohegaon|9"
